고객ID,나이,성별,거주지역,가입경로,멤버십등급,월평균구매금액,구매횟수,리뷰점수,쿠폰사용여부,이탈여부
C0343,50.0,여,경기,웹,브론즈,35999.97916501786,3.0,3.3,N,1
C0344,44.0,남,경기,웹,VIP,163911.1930831949,17.0,4.3,N,0
C0345,65.0,남,서울,앱,브론즈,213834.06138112355,3.0,3.4,N,1
C0346,31.0,남,부산,웹,실버,69117.3341995347,6.0,3.9,N,0
C0347,69.0,남,경기,웹,브론즈,34319.75100283676,6.0,4.1,N,0
C0348,66.0,남,대구,앱,실버,41847.89393191508,9.0,4.1,N,1
C0349,27.0,여,서울,웹,실버,69783.6063153224,5.0,4.1,Y,1
C0350,26.0,여,기타,앱,골드,119432.29671639884,9.0,5.0,N,0
C0351,45.0,여,서울,지인추천,브론즈,39081.33785392907,4.0,3.5,N,1
C0352,20.0,여,서울,지인추천,VIP,193224.5742023493,19.0,4.7,N,0
C0353,33.0,여,부산,앱,실버,75160.50975259035,3.0,4.0,Y,0
C0354,40.0,남,기타,앱,골드,130492.34866220962,12.0,3.7,Y,0
C0355,68.0,남,서울,광고,골드,118137.04495275962,8.0,3.9,N,0
C0356,69.0,여,경기,앱,VIP,179916.88771871908,15.0,4.3,N,0
C0357,25.0,남,대구,웹,브론즈,48350.898647202746,3.0,3.6,N,0
C0358,43.0,남,부산,웹,브론즈,61425.415582842754,3.0,3.2,N,1
C0359,22.0,여,경기,웹,브론즈,45671.27220158881,3.0,3.4,N,1
C0360,56.0,여,경기,앱,브론즈,50953.44849706543,4.0,3.7,Y,1
C0361,61.0,여,대구,웹,실버,79395.99520380053,6.0,4.0,N,1
C0362,64.0,여,대구,앱,VIP,166540.57450247218,13.0,4.4,Y,0
C0363,29.0,남,부산,웹,VIP,174859.78782709612,18.0,4.2,Y,0
C0364,64.0,여,대구,앱,실버,101812.6349543722,9.0,4.2,Y,1
C0365,24.0,여,서울,앱,실버,71755.2366948547,9.0,4.0,N,1
C0366,44.0,여,기타,웹,골드,120033.57871423896,8.0,3.5,N,0
C0367,42.0,여,부산,앱,VIP,185093.3474104333,17.0,4.4,N,0
C0368,34.0,여,부산,앱,브론즈,58683.03937133136,5.0,3.4,N,1
C0369,19.0,남,서울,앱,실버,75140.59701263238,5.0,4.0,N,0
C0370,58.0,남,서울,앱,골드,86399.33556451165,11.0,4.5,N,1
C0371,35.0,남,대구,앱,브론즈,51200.4338237816,4.0,3.4,N,1
C0372,52.0,남,서울,광고,실버,48366.30889652337,11.0,3.9,N,1
C0373,39.0,남,기타,웹,VIP,187639.2467712948,20.0,4.5,N,0
C0374,37.0,남,경기,지인추천,VIP,172033.68645431913,13.0,4.2,N,0
C0375,64.0,여,대구,광고,VIP,181996.08823846385,21.0,4.4,N,0
C0376,22.0,여,부산,앱,골드,104174.66634182738,9.0,3.7,N,0
C0377,56.0,여,경기,웹,브론즈,26369.910320399347,6.0,3.3,N,1
C0378,56.0,여,경기,광고,브론즈,48129.05260969401,6.0,2.5,N,1
C0379,37.0,여,대구,웹,실버,74596.7587205263,5.0,3.5,Y,1
C0380,31.0,여,대구,웹,실버,69101.51008611401,8.0,3.7,N,0
C0381,18.0,남,경기,웹,실버,76015.93536879317,7.0,3.6,N,0
C0382,66.0,여,대구,앱,실버,108209.23070438713,8.0,3.6,N,0
C0383,67.0,남,기타,웹,실버,85014.3065684287,7.0,3.9,N,0
C0384,30.0,남,경기,광고,골드,127593.98327035982,13.0,3.7,Y,0
C0385,19.0,여,서울,광고,브론즈,55127.24269864027,4.0,2.6,N,1
C0386,24.0,여,경기,앱,브론즈,62753.54572622632,4.0,3.2,Y,0
C0387,21.0,남,경기,지인추천,브론즈,42719.13992519106,6.0,3.6,N,1
C0388,61.0,남,서울,앱,브론즈,20342.864307896474,5.0,4.0,Y,1
C0389,64.0,남,서울,광고,골드,112736.96640392789,12.0,4.4,N,0
C0390,25.0,남,대구,앱,실버,84740.82851995803,6.0,3.1,N,0
C0391,56.0,남,경기,광고,브론즈,33362.395258619115,2.0,3.2,N,1
C0392,27.0,여,기타,지인추천,골드,112883.60859412805,10.0,3.7,Y,0
C0393,37.0,여,서울,앱,실버,66698.76308397224,6.0,3.8,N,0
C0394,49.0,여,서울,앱,브론즈,63024.35102211757,6.0,3.5,N,1
C0395,55.0,여,부산,지인추천,브론즈,53993.48418487876,6.0,2.9,N,0
C0396,63.0,여,부산,앱,브론즈,52818.48744772751,4.0,3.3,N,0
C0397,20.0,여,서울,웹,실버,82459.21575745166,10.0,3.9,Y,0
C0398,28.0,남,서울,광고,브론즈,44553.00896937448,7.0,3.6,N,0
C0399,32.0,남,서울,웹,브론즈,47370.67539033004,4.0,3.0,Y,0
C0400,34.0,여,경기,앱,브론즈,30777.785033612192,2.0,3.2,Y,0
C0401,69.0,남,경기,웹,실버,48762.69625499319,10.0,3.7,N,0
C0402,58.0,남,서울,앱,브론즈,46800.97356414029,4.0,3.1,N,1
C0403,34.0,남,서울,광고,골드,118887.88307526574,11.0,3.9,Y,0
C0404,68.0,여,경기,앱,브론즈,59511.17482110453,3.0,3.7,Y,1
C0405,43.0,남,기타,앱,실버,93856.0297929884,5.0,3.8,Y,0
C0406,44.0,여,대구,앱,실버,93839.98181998736,4.0,3.7,Y,1
C0407,40.0,남,경기,앱,실버,63023.71688047347,8.0,2.8,N,1
C0408,25.0,남,서울,앱,브론즈,40772.819580602765,2.0,3.4,Y,1
C0409,66.0,남,서울,광고,골드,120764.01155057656,17.0,3.7,N,0
C0410,18.0,남,서울,지인추천,골드,145382.85613290613,9.0,4.3,Y,0
C0411,27.0,여,부산,지인추천,브론즈,62761.19044456699,1.0,2.8,Y,1
C0412,29.0,남,부산,광고,브론즈,58432.765943980565,5.0,3.3,N,0
C0413,32.0,남,기타,앱,VIP,165346.5445334085,19.0,4.4,Y,0
C0414,24.0,여,기타,광고,실버,64401.6044261385,7.0,3.8,N,1
C0415,18.0,여,기타,앱,브론즈,54466.89460059887,5.0,3.7,N,0
C0416,53.0,남,기타,지인추천,브론즈,31792.06482918768,1.0,3.2,N,0
C0417,68.0,여,서울,웹,실버,72138.76378823636,6.0,3.1,N,1
C0418,24.0,여,서울,웹,골드,113622.66461197691,9.0,3.5,Y,0
C0419,33.0,남,경기,광고,실버,94114.9450694737,3.0,3.5,N,0
C0420,44.0,여,대구,광고,VIP,165743.63236448387,16.0,3.7,N,0
C0421,43.0,여,서울,지인추천,실버,45729.004337128616,3.0,3.5,N,0
C0422,54.0,여,부산,웹,브론즈,51053.33577194962,1.0,3.6,Y,1
C0423,57.0,남,대구,웹,실버,66611.73776275289,6.0,3.7,N,1
C0424,48.0,남,경기,앱,브론즈,45511.57229325296,2.0,2.9,Y,1
C0425,39.0,남,서울,앱,브론즈,213834.06138112355,5.0,3.2,Y,1
C0426,28.0,여,서울,앱,브론즈,41715.55205018678,5.0,3.4,N,1
C0427,62.0,여,서울,앱,브론즈,54484.08698141645,6.0,3.4,Y,0
C0428,59.0,남,부산,앱,골드,96605.62145976751,13.0,4.9,Y,0
C0429,19.0,남,대구,지인추천,브론즈,38795.82930054767,6.0,3.0,Y,1
C0430,55.0,여,대구,웹,실버,83208.45495740857,7.0,3.7,N,0
C0431,22.0,여,서울,광고,실버,67630.98269586758,8.0,3.9,Y,1
C0432,56.0,여,경기,웹,실버,55694.31948876034,8.0,3.7,N,1
C0433,43.0,남,경기,앱,골드,123022.66411908084,11.0,3.9,Y,0
C0434,24.0,여,부산,앱,골드,128477.13556529846,10.0,3.5,N,1
C0435,40.0,남,부산,앱,골드,114460.05750828392,10.0,3.9,Y,0
C0436,24.0,여,서울,광고,브론즈,21469.85281836561,2.0,2.9,N,0
C0437,47.0,남,기타,앱,실버,83471.63696038579,8.0,3.0,Y,0
C0438,66.0,남,서울,웹,실버,55081.34542296374,7.0,3.4,Y,0
C0439,22.0,남,부산,광고,브론즈,48705.59132217799,3.0,2.9,Y,0
C0440,38.0,여,서울,광고,브론즈,34350.434103094085,3.0,3.5,Y,0
C0441,68.0,여,서울,앱,브론즈,31081.92857079641,2.0,3.5,Y,1
C0442,33.0,남,부산,앱,실버,69697.07979504371,9.0,3.3,N,1
C0443,24.0,여,서울,앱,실버,72800.42932287288,7.0,3.6,N,1
C0444,43.0,남,경기,앱,브론즈,37269.50099536262,2.0,2.6,Y,1
C0445,44.0,남,경기,앱,골드,122064.4393385818,13.0,3.9,N,0
C0446,52.0,남,서울,웹,VIP,164647.167458494,15.0,4.7,N,0
C0447,34.0,여,대구,광고,브론즈,56762.29046006186,1.0,3.6,Y,1
C0448,67.0,남,부산,앱,VIP,173374.07798772174,18.0,4.2,N,0
C0449,45.0,여,부산,웹,브론즈,36629.31352084431,3.0,3.7,Y,1
C0450,32.0,남,경기,앱,VIP,159608.72139401257,15.0,3.9,Y,0
C0451,67.0,남,경기,지인추천,VIP,150230.04441143075,16.0,4.0,N,0
C0452,66.0,남,서울,웹,브론즈,48488.79813440187,6.0,3.6,N,1
C0453,43.0,여,서울,광고,골드,110744.9494329837,11.0,4.8,N,0
C0454,19.0,남,서울,광고,VIP,141533.6536632378,14.0,4.7,N,0
C0455,49.0,여,기타,앱,VIP,163571.4215267672,17.0,4.5,N,0
C0456,43.0,여,부산,앱,VIP,213834.06138112355,15.0,3.6,Y,1
C0457,25.0,남,부산,앱,실버,93908.13110604792,11.0,2.9,Y,0
C0458,43.0,여,경기,웹,브론즈,24566.656657280284,4.0,3.4,Y,1
C0459,61.0,여,경기,광고,골드,97703.79040319136,7.0,4.0,Y,0
C0460,23.0,남,경기,앱,실버,88319.6357172684,8.0,3.3,Y,0
C0461,55.0,남,경기,지인추천,실버,91281.15788956756,11.0,3.7,N,0
C0462,43.0,남,경기,웹,실버,66060.2047352923,10.0,3.7,Y,1
C0463,56.0,여,서울,앱,실버,67414.97012629308,11.0,4.1,Y,1
C0464,43.0,남,서울,앱,브론즈,52394.82475863976,2.0,3.4,N,1
C0465,18.0,여,기타,웹,골드,87074.80243665627,13.0,4.6,N,0
C0466,68.0,여,경기,웹,브론즈,22665.675785933327,3.0,3.3,N,0
C0467,26.0,여,기타,웹,골드,111631.19918979146,11.0,4.1,Y,0
C0468,48.0,남,서울,앱,골드,133598.6867935495,8.0,4.5,N,0
C0469,27.0,여,대구,지인추천,실버,69771.23894199912,6.0,3.3,Y,0
C0470,66.0,남,서울,앱,실버,76211.24150082185,6.0,4.8,N,0
C0471,56.0,남,서울,광고,브론즈,58605.47127076815,6.0,3.5,Y,1
C0472,59.0,남,서울,앱,VIP,195282.61679933776,18.0,4.7,Y,0
C0473,40.0,남,서울,앱,골드,108077.81832222024,12.0,4.3,N,0
C0474,42.0,남,기타,웹,브론즈,44797.95931519889,1.0,4.1,Y,1
C0475,50.0,남,경기,웹,브론즈,66864.66265611412,3.0,3.6,Y,0
C0476,58.0,남,대구,웹,브론즈,26733.60869770286,3.0,2.7,N,0
C0477,62.0,남,경기,웹,실버,87330.97284664586,9.0,4.3,Y,0
C0478,18.0,여,경기,광고,VIP,157780.2136116649,18.0,4.4,N,0
C0479,43.0,남,경기,웹,골드,116229.66840523788,13.0,4.1,N,0
C0480,23.0,여,서울,웹,브론즈,42088.57143119671,2.0,2.8,Y,1
C0481,32.0,여,기타,웹,골드,103503.86079158523,6.0,4.3,N,0
C0482,43.0,여,부산,앱,브론즈,33202.7768681007,1.0,3.0,Y,0
C0483,31.0,여,대구,웹,골드,118316.97237104503,14.0,4.1,N,0
C0484,59.0,여,경기,앱,브론즈,56946.471937952185,3.0,3.2,Y,1
C0485,42.0,여,서울,웹,실버,73443.16556173796,5.0,4.5,Y,0
C0486,30.0,여,기타,앱,VIP,170841.35790479858,19.0,5.0,Y,0
C0487,35.0,여,경기,앱,브론즈,51854.08879549256,7.0,3.3,N,0
C0488,45.0,남,서울,웹,실버,63340.57472384448,7.0,3.7,N,1
C0489,57.0,남,경기,광고,VIP,178876.31010095507,15.0,4.4,N,0
C0490,49.0,여,부산,웹,브론즈,54832.11716471696,4.0,3.7,N,0
C0491,66.0,남,대구,앱,브론즈,76243.51558500492,4.0,3.7,N,0
C0492,63.0,여,부산,지인추천,실버,70486.74971328501,10.0,3.5,N,0
C0493,57.0,남,부산,웹,브론즈,39503.01837998247,5.0,3.7,N,0
C0494,49.0,남,서울,지인추천,브론즈,54227.590458884944,5.0,3.1,N,0
C0495,43.0,여,기타,웹,실버,213834.06138112355,9.0,3.7,N,0
C0496,39.0,여,경기,웹,골드,108578.95415947946,9.0,3.5,N,0
C0497,24.0,여,대구,광고,브론즈,40162.04787683941,6.0,3.6,N,1
C0498,37.0,남,서울,웹,브론즈,51493.57005861648,3.0,4.1,Y,0
C0499,66.0,여,기타,앱,골드,105068.98911118406,6.0,4.4,N,0
C0500,43.0,여,서울,웹,실버,70073.59214381983,3.0,4.3,Y,1
