희망구매유형,수요기술명,수요기술번호,진행상태,구매희망시기,희망기술개요,키워드,기술도입지원기관,기술지표상세,기술구매조건,기술이전계약설명,기술이전계약유형,정액기술료,기타계약조건,경상기술료,기술센터지역,수집일시,정보충실도
"기술매매,라이센스,기술협력,기술지도",하수용 고도처리 기술,00000002856,컨설팅완료,12개월이내,하수 고도처리 공법 및 운전 방법 기술,"하수,수처리,하수 고도처리,,",협의후 결정,기술보완,2016 기술거래촉진네트워크 사업의 대구TP 컨소시엄 아이티엘의 권슬기 대리로 컨설턴트 지정을 희망(신청지역: 대구),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",재생에너지 활용 담수화 시스템 기술,00000002857,컨설팅완료,12개월이내,폐열 활용 담수화 시스템,"재생에너지,에너지,폐열,담수화,담수화시스템",협의후 결정,기술보완,2016 기술거래촉진네트워크 사업의 대구TP 컨소시엄 아이티엘의 권슬기 대리로 컨설턴트 지정을 희망(신청지역: 대구),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",바이오디젤 생산기술,00000002858,컨설팅완료,12개월이내,미세조류 바이오매스로부터 바이오디젤 생산기술,"바이오디젤,바이오,미세조류,바이오매스,",협의후 결정,기술보완,2016 기술거래촉진네트워크 사업의 대구TP 컨소시엄 아이티엘의 권슬기 대리로 컨설턴트 지정을 희망(신청지역: 대구),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",축산용 고효율 폐수처리 기술,00000002859,컨설팅완료,12개월이내,고효율 축산 폐수처리장치 및 운영 방법 기술,"축산 폐수,수처리,폐수처리장치,고효율,",협의후 결정,기술보완,2016 기술거래촉진네트워크 사업의 대구TP 컨소시엄 아이티엘의 권슬기 대리로 컨설턴트 지정을 희망(신청지역: 대구),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",하폐수용 폭기조 산소주입기술,00000002860,컨설팅완료,12개월이내,하폐수 처리를 위한 고효율 폭기조 산소주입기술,"하폐수,수처리,폭기조,산소주입,",협의후 결정,기술보완,2016 기술거래촉진네트워크 사업의 대구TP 컨소시엄 아이티엘의 권슬기 대리로 컨설턴트 지정을 희망(신청지역: 대구),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",하폐수용 여과 및 고도처리 기술,00000002861,컨설팅완료,12개월이내,하폐수용 여과처리 및 생물학적 고도처리 기술,"하폐수,수처리,여과처리,생물학적 고도처리,고도 수처리",협의후 결정,기술보완,2016 기술거래촉진네트워크 사업의 대구TP 컨소시엄 아이티엘의 권슬기 대리로 컨설턴트 지정을 희망(신청지역: 대구),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",막여과 장치 기술,00000002862,컨설팅완료,12개월이내,막여과공정을 위한 막여과 장치 기술,"수처리,막여과,막여과 공정,,",협의후 결정,기술보완,2016 기술거래촉진네트워크 사업의 대구TP 컨소시엄 아이티엘의 권슬기 대리로 컨설턴트 지정을 희망(신청지역: 대구),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",이동식 수처리 장치 기술,00000002863,컨설팅완료,12개월이내,모듈형 이동식 수처리 장치 기술,"수처리,이동식 수처리,모듈형 수처리,,",협의후 결정,기술보완,2016 기술거래촉진네트워크 사업의 대구TP 컨소시엄 아이티엘의 권슬기 대리로 컨설턴트 지정을 희망(신청지역: 대구),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",포도당 감지를 위한 무효소 혈당측정 센서 제조 기술,00000002864,컨설팅완료,12개월이내,포도당 감지를 위하여 나노섬유막 기반의 무효소 혈당측정 센서 제조 기술을 희망함,"포도당 감지,나노섬유막,무효소 혈당 ,혈당 측정,센서 제조",협의후 결정,신사업창출,2016 기술거래촉진네트워크 사업의 대구TP 컨소시엄 아이티엘의 권슬기 대리로 컨설턴트 지정을 희망(신청지역: 대구),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",줄기세포를 이용한 화장용 조성물 관련 제조기술,00000002865,기술이전계약,6개월이내,줄기세포를 이용한 화장용 조성물 관련 제조기술,"줄기세포,화장료,홪아품,,",고려대학교 산학협력단,신제품 개발 및 R&D 방향 설정,협의,협의후 결정,기술양도(매매),70000000,협의후 결정,0,충북,2026-07-10,4
"기술매매,라이센스,기술협력","줄기세포를 이용한 발모촉진, 탈모치료용 조성물 관련 제조기술",00000002866,기술이전계약,6개월이내,"줄기세포를 이용한 발모촉진, 탈모치료용 조성물 관련 제조기술","줄기세포,발모,탈모,,",고려대학교 산학협력단,신제품 개발,협의,협의후 결정,기술양도(매매),70000000,협의후 결정,0,충북,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",분화된 인슐린 분비 세포 제조 방법,00000002867,기술이전계약,6개월이내,분화된 인슐린 분비 세포 제조 방법 및 이를 세포 치료제로 이용 관련 기술,"인슐린,세포,세포 치료제,,",고려대학교 산학협력단,에로사항 해결,협의,협의후 결정,기술양도(매매),70000000,협의후 결정,0,충북,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",배아 줄기세포의 미분화 증식을 위한 배지 관련 기술,00000002868,기술이전계약,6개월이내,배아 줄기세포의 미분화 증식을 위한 배지 관련 기술,"배아,줄기세포,미분화,,",고려대학교 산학협력단,에로사항 해결,협의,협의후 결정,기술양도(매매),70000000,협의후 결정,0,충북,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",신경줄기세포로의 역분화 관련,00000002869,기술이전계약,6개월이내,신경줄기세포로의 역분화 관련,"신경줄기세포,역분화,줄기세포,,",고려대학교 산학협력단,관련 기술확보 및 에로사항 해결,협의,협의후 결정,기술양도(매매),70000000,0,0,충북,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",줄기세포 기술을 이용한 연골세포 분화,00000002870,기술이전계약,3개월이내,줄기세포 기술을 이용한 연골세포 분화 또는 연골조직 재생을 위한 조성물,"줄기세포,연골세포 분화,연골조직 재생,,",한양대학교 에리카산학협력단,신제품 개발,협의,협의후 결정,기술양도(매매),0,미공개를 원함,0,충북,2026-07-10,4
"기술매매,라이센스",줄기세포 기술을 이용한 제방세포 분화유도 또는 지방조직 재생을 위한 조성물,00000002871,기술이전계약,3개월이내,줄기세포 기술을 이용한 제방세포 분화유도 또는 지방조직 재생을 위한 조성물,"줄기세포,제방세포,지방조직 재생,분화유도,",한양대학교 에리카산학협력단,에로사항 해결,협의,협의후 결정,기술양도(매매),0,미공개를 원함,0,충북,2026-07-10,4
"기술매매,라이센스","줄기세포 기술을 이용한 화장용(미백, 주름개선 등) 조성물 관련 기술",00000002872,기술이전계약,3개월이내,"줄기세포 기술을 이용한 화장용(미백, 주름개선 등) 조성물 관련 기술","줄기세포,미백,주름개선,화장,",한양대학교 에리카산학협력단,신제품 개발,협의,협의후 결정,기술양도(매매),0,미공개를 원함,0,충북,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",액면진동을 억제하는 기술,00000002873,기술이전계약,3개월이내,"1. 액체를 수송하는 이동 수단의 가속도를 측정하는 방법.

2. 비치대의 각도를 변화시켜 액면 진동을 최소화 시키는 기술을 원함.","액체 이동,수송,진동,최소화,",호서대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,기술양도(매매),3000000,본 건은 특허양도로 기술이전 계약 체결이 완료됨.,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",4구 부스터 회로 스위치 제작 기술,00000002874,기술이전계약,3개월이내,1. 4구 스위치 방식의 벅-부스터 회로에 관한 기술적 노하우가 필요함.,"4구형 스위치,회로,부스터,,",호서대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,노하우이전,2000000,본 건은 노하우이전으로 기술이전 계약 체결이 완료됨.,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",나노 복합분말 제조 방법,00000002875,기술이전계약,3개월이내,"1. 플라즈마 토치부를 작동시켜 열플라즈마를 발생시키는 단계에서 

    나노 복합 분말을 형성하는 기술적 노하우를 원함.

2. 플라즈마 디스플레이 패널의 불순 가스 제거용 고순도 게터를 용이하게 제조할 수 있는 기술을 원함.","나노 ,복합분말,플라즈마,디스플레이 패널,",호서대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,노하우이전,2000000,본 건은 특허양도로 기술이전 계약 체결이 완료됨.,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",모바일 컨텐츠 구성 방법,00000002876,기술이전계약,3개월이내,"1. 현재 위치를 기반으로 광고 서버로부터 송출되는 광고 컨텐츠를 모바일웹 컨텐츠 사이에서 

    슬라이드 방식으로 노출시키는 모바일웹 서비스 서버를 구성하는 방법을 원함.","모바일 컨텐츠,위치 기반,모바일웹,,",호서대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,기술양도(매매),1500000,본 건은 특허양도로 기술이전 계약 체결이 완료됨.,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",세포성장인자를 이용한 화장품 원료 배합 기술,00000002877,기술이전계약,3개월이내,"1. 인체줄기세포배양액 추출물을 화장품 원료로 활용하는 기술을 원함.

2. 세포성장인자를 이용한 화장품 원료 배합에 관한 기술적 노하우를 원함.","세포성장인자,인체줄기세포배양액,화장품 원료,,",호서대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,노하우이전,2500000,본 건은 노하우이전이로 기술이전 계약 체결이 완료됨.,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",경추용 웨어러블 시스템 운영방법,00000002878,기술이전계약,3개월이내,1. 경추용 웨어러블 시스템을 구축하여 운영하는 기술적 노하우를 원함.,"경추용 웨어러블,디스플레이,,,",호서대학교 산학협력단,신제품개발,협의에 의함,협의후 결정,기술양도(매매),2000000,본 건은 특허양도로 기술이전 계약 체결이 완료됨.,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",열전 소자를 포함하는 기술,00000002879,기술이전계약,3개월이내,"1. 하부 전극의 온도 상승에 의해 환원 반응이 일어나는 양의 열전계수를 갖는 전해질을 포함하여

    서로 다른 하부 전극들 상에 배치된 전해셀들과 연결되도록 하는 기술적 노하우를 원함.","열전 소자,하부 전극,전해셀,열전계수,",호서대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,기술양도(매매),2000000,본 건은 특허양도로 기술이전 계약 체결이 완료됨.,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",프탈로시아닌 화합물 제조방법,00000002880,기술이전계약,3개월이내,"1. 근적외선 영역의 파장대에서 높은 흡수능을 가져 근적외선 흡수제로 사용할 수 있는 기술을 원함.

2. 전하발생 재료 및 전기 특성에 대한 다양한 특성을 제공할 수 있는 기술적 노하우를 원함.","프탈로시아닌,화합물 제조,근적외선 영역,,",호서대학교 산학협력단,신제품 개발,협의에 의함,협의후 결정,기술양도(매매),2000000,본 건은 특허양도로 기술이전 계약 체결이 완료됨.,0,충남,2026-07-10,4
기술협력,혁신적인 맞춤형 토탈 생활정도 중개 서비스 앱 개발 기술,00000002881,컨설팅매칭,6개월이내,"- 혁신적인 맞춤형 토탈 생활정도 중개 서비스 앱 개발에 대한 기술

- 전자상거래 등에서 구매자와 판매자 사이에 중개 서비스가 다양하게 나타남 

- 중개서비스가 개입해 상품 인도와 대금 지불을 대행해 주는 혁신적인 맞춤형 토탈 생활정도 중개 서비스 앱 개발 노하우 및 알고리즘 기술이 필요한 상황임","중개 서비스 앱,앱 개발,중개서비스,맞춤형 토탈 생활정,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,소프트웨어 및 모바일 주변기기(VR) 기술,00000002882,컨설팅매칭,9개월이내,"- 소프트웨어 및 모바일 주변기기(VR)에 대한 기술

- 모바일 주변기기(VR) 기술은 특수한 안경과 장갑을 사용하여 인간의 시각, 청각 등 감각을 통하여 컴퓨터의 소프트웨어 프로그램 내부에서 가능한 것을 현실인 것처럼 유사 체험하게 하는 유저 인터페이스 기술임

- 전자 쇼핑과 같이 3D 게임에서 건물 안을 자유롭게 돌아다니면서 마음에 드는 매장에서 마음에 드는 제품을 선택하여 보고, 전자적으로 대금을 결제할 수 있는 모바일 주변기기(VR, 가상 현실) 활용한 서비스를 구현할 수 있는 노하우 및 기술이 필요함","소프트웨어,모바일 주변기기,VR,유저인터페이스기술,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술협력,6차산업 옴니채널센터 관련 기술,00000002883,컨설팅매칭,6개월이내,"- 옴니채널은 소비자가 온라인, 오프라인, 모바일 등 다양한 경로를 넘나들며 상품을 검색하고 구매할 수 있도록 한 서비스. 각 유통 채널의 특성을 결합해 어떤 채널에서든 같은 매장을 이용하는 것처럼 느낄 수 있도록 한 쇼핑 환경을 의미함 

- 6차 산업으로 생산되는 다양한 서비스나 제품을 다양한 경로로 접근할 수 있는 옴니채널센터 구현 기술 및 노하우가 필요함","6차산업,옴니채널센터,옴니채널센터 구현,노하우,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,에너지절감 시스템(EMS MINI) 관련 기술,00000002884,컨설팅매칭,6개월이내,"- 에너지절감 시스템은 에너지효율 향상 목표를 설정하고 이를 달성하기 위해 관리체제를 일정한 절차및 기법에 따라 체계적이고 지속적으로 추진하는 시스템임

- 공장 가정 등에서 에너지 사용을 최적화하여 절감시킬수 있는 IT소프트웨어 기반의 에너지 절감시스템을 구현할 수 있는 기술이 필요함","에너지절감시스템,EMS MINI,에너지 효율 향상,소프트웨어 기반,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,VR기술을 통한 건축검증시스템 관련 기술,00000002885,컨설팅매칭,6개월이내,"- VR기술은 특수한 안경과 장갑을 사용하여 인간의 시각, 청각 등 감각을 통하여 컴퓨터의 소프트웨어 프로그램 내부에서 가능한 것을 현실인 것처럼 유사 체험하게 하는 유저 인터페이스 기술임

- 설계 규격과 시방이 설계 요건과 일치하는지를 3D형태의 VR기술을 통한 건축검증시스템 관련 노하우 및 기술이 필요함","VR 기술,건축검증시스템,소프트웨어,유저인터페이스,노하우",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,가상-현실 연결 인테리어 조명 플랫폼 제조 기술,00000002886,컨설팅매칭,6개월이내,"- 인테리어 조명을 설치할 때는 공간의 용도와 필요한 가구 배치를 계획한 후 조명을 설치할 장소나 밝기, 기능 등을 먼저 결정해야 함 

- 인테리어가 완성된 다음에는 다시 원하는 조명을 설치하기가 어렵고, 인테리어 공사 시 전기 코드 작업을 미리 하지 않으면 조명 기구에 따른 전기선들이 겉으로 많이 드러나 전체 분위기를 해칠 수 있는 문제점이 있음 

- 따라서, 인테리어 조명 설계 규격과 시방이 설계 요건과 일치하는지를 3D형태의 VR기술을 활용한 인테리어 조명 플랫폼 관련 노하우 및 제조 기술이 필요함","가상-현실,연결인테리어조명,플랫폼 제조 기술,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,면상발열탄소섬유와 라텍스매트제조 및 IoT 기반의 온도조절기 제조 기술,00000002887,컨설팅매칭,9개월이내,"- 면상발열탄소섬유와 라텍스매트제조 및 IoT 기반의 온도조절기 제조에 관한 기술

- 온도 조절기에 와이파이 모듈을 설치하고, 스마트폰에 설치된 스마트폰 앱(App)을 이용하여 원격지에서 온도 조절기를 제어할 수 있도록 하며, 온도 조절기를 설치하고, 스마트폰을 이용해서 제어하도록 하는 스마트폰 앱을 이용한 원격 무선 제어가 가능한 온도 조절기 개발 기술이 필요함","면상발열탄소섬유,라텍스매트제조,IoT 기반,온도조절기,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,탄소나노튜브 납축전지 활성제 제조기술,00000002888,컨설팅매칭,6개월이내,"- 탄소 6개로 이루어진 육각형들이 서로 연결되어 관 모양을 이루고 있는 신소재. 카본 나노튜브라고도 한다. 관의 지름이 수십 nm(나노미터, 나노는 10억분의 1) 이하에 불과해서 탄소 나노튜브라고 함

- 납축전지는 납을 (-)극, 이산화납을 (+)극으로 하고, 비중이 1.25 정도인 황산을 전해질로 사용하여 만든 전지임

- 주로 태양 전지의 전력 저장 시스템, 전자 기기 및 통신 설비의 무정전 전원 장치의 예비 전원용, 자동차용은 물론 자동차나 모터사이클 · 골프카 · 선박 및 전기 자동차의 시동용 또는 전력용으로 주로 사용되는 탄소나노튜브 납축전지 활성제 제조기술이 필요함","탄소나노튜브,납축전지,활성제,납축전지 활성제,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,탄소섬유캐리어 제조기술,00000002889,컨설팅매칭,9개월이내,"- 탄소섬유는 유기섬유를 비활성 기체 속에서 가열, 탄화하여 만든 섬유로 비강도, 비탄성률 중 특히 비탄성률이 높은 것이 특징으로 수지로 굳히면 가볍고 변형이 잘 되지 않는 재료임 

- 탄소섬유을 기반으로 전하 운반체인 캐리어 기능을 개선시틸 수 있는 탄소섬유캐리어 제조기술이 필요함","탄소섬유 캐리어,탄소섬유 기반,전하 운반체,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
"기술매매,기술협력",IoT 미니온실 제작 키트 제작 기술,00000002890,컨설팅완료,9개월이내,"- 온실은 식물의 주요 생육환경인 광선 ·온도 ·습도를 인공적으로 조절할 수 있도록 만든 건축물로, 그 지붕 모양에 따라 양쪽지붕형[兩面式] ·3/4식[不等式] ·외쪽지붕형[片面式] ·반원형식(半圓形式)·연동식(連棟式) 분리됨 

- 작은 사이즈로 구성되는 온실을 미니온실라고 하며 다양한 기능을 활용하여 온도을 조절하는 효과를 발생시킴 

- 따라서, IoT기술을 활용하여 온도 조절 기능이 가능하고 사용자 요구에 따라 사이즈 변화가 용이한 미니온실을 제작할 수 있는 키트를 개발하는 기술이 필요함","IoT 미니온실,미니온실 제작키트,키트개발기술,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
"기술매매,기술협력",ICT기반 조경수 Container Bank 기술,00000002891,컨설팅완료,6개월이내,"- ICT(Information and Communications Technologies) 기술은 정보기술과 통신기술을 융합하여 다양한 기능을 구현하는 기술임 

- 조경수를 저장할 수 있는 Container Bank에 ICT기술을 적용하여 다양한 기능이 발생시킬 수 있는 ICT기반 조경수 Container Bank 기술이 필요함","ICT 기반,초경수,Container ,Bank,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,폐공병과 한지를 이용한 조명 및 디퓨저 기술,00000002892,컨설팅매칭,6개월이내,- 폐기물로 발생되는 폐공병과 기능성이 있는 한지를 이용하여 다양한 조명을 설계 구성하는 폐공병과 한지를 이용한 조명 및 디퓨저 기술,"폐공병,한지,조명 ,디퓨저,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
"기술매매,기술협력",수학교육용 기능성 게임 프로그램 개발 기술,00000002893,컨설팅매칭,9개월이내,- 수학교육을 체계적으로 수행할 수 있는 알고리즘이 설계되어 적용하고 다양한 게임 기능이 구현되어 제공되는 경쟁력이 있는 수학교육용 기능성 게임 프로그램 개발에 대한 노하우 및 기술이 필요함,"수학교육용,기능성 게임,게임 프로그램,노하우,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,골프의 body turn swing 이너웨어 제작 기술,00000002894,컨설팅매칭,6개월이내,"- 골프의 body turn swing등 특정 동작을 일정시간 유지해도 편안하고 자연스러워야 좋은 스윙 동작이 될 수가 있음

- 스윙 동작을 유발시키기 위해서 이너웨어(inner wear)가 중요한 역할을 하고 있음

- 편하면서 기능성효과가 높은 골프의 body turn swing을 위한 이너웨어를 제작하는 기술이 필요함","골프,body,turn swing,이너웨어,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,무화과를 발효시킨 로제와인 제조기술,00000002895,컨설팅매칭,6개월이내,"- 포도 껍질과 무화과를 같이 넣고 발효시키다가 색이 우러나오면 껍질을 제거한 채 과즙을 가지고 제조하는 와인에 대한 기술

- 색이 분홍빛이며 맛은 화이트 와인에 가까운 무화과를 발효시킨 로제와인 제조 노하우 및 기술이 필요함","무화과 발효,로제와인,포도껍질,과즙,노하우",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
"기술매매,기술협력",글루텐프리 머핀 제조기술,00000002896,컨설팅매칭,6개월이내,"- 밀가루에 물을 가하여 반죽 하면 물리적인 운동에 의해 글루테닌과 글리아딘이 서로 결합하면서 탄력성 있는 얇은 피막을 형성하게 되는데 이것이 글루텐임

- 형성된 글루텐의 피막은 이스트나 베이킹파우더에 의해 생성되는 이산화탄소를 포집하여 빵이나 케이크 등을 부풀게 하고, 쫄깃한 면과 빵을 만들 수 있음

- 이러한 성분이 형성되는 글루텐 프리 머핀 제조하는 노하우 및 기술이 필요함","글루텐프리,머핀,노하우,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
"기술매매,기술협력",합성유해성분 무첨가 치약 제조 기술,00000002897,컨설팅매칭,9개월이내,"- 치약은 치아를 청결하게 하고 연마할 목적으로 칫솔에 묻혀 사용하는 약물성 복합물질임

- 치약은 분말 ·크림 ·액상 등으로 되어 있으며 소독작용 ·치석용해작용 ·냄새감퇴작용 및 충치나 치조농루 등의 예방 또는 치료에 도움이 되도록 만들어져 있음

- 치약의 구성성분으로는 탄산칼슘 ·인산칼슘 ·황산칼슘 ·탄산마그네슘 ·염화마그네슘등 다양한 성분이 사용되므로 합성유해성분이 무첨가되는 치약 제조하는 기술이 필요함","합성유해성분,무첨가,치약 제조,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술협력,칫솔에 감아쓰는 실리콘 양치컵 제작 기술,00000002898,컨설팅매칭,6개월이내,- 칫솔에 감아쓰는 실리콘을 활용하여 구성된 다양한 유형의 양치컵 제작에 대한 노하우 및 기술이 필요함,"칫솔,양치컴,실리콘,노하우,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,한복 인형 모양 조명과 디퓨저 제조기술,00000002899,컨설팅매칭,9개월이내,"- 한복 인형의 다양한 모양을 형성시키고 모양에 따른 조명 설비가 필요함 

- 효과적인 조명설비에 따른 조명 효율이 구성시키고 조명설비에 따른 효과적인 환경 및 분위기가 나타나는 한복인형의 디퓨저 제조 노하우 및 기술이 필요함","한복인형,조명,디퓨저,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
"기술매매,기술협력",가상 안경 착용 체험 서비스 기술,00000002900,컨설팅매칭,6개월이내,"- 웨어러블 디바이스는 시계나 안경, 헤드셋 같은 형태로 디바이스는 점점 작아졌지만, 기능은 더욱 많아지고 복잡해진 상황임 

- 웨어러블 디바이스인 가상 안경을 착용하고 체험할 수 있는 가상 안경 착용 체험 서비스 구현 노하우 및 기술이 필요함","가상 안경,웨어러블 디바이스,가상안경착용체험,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
"기술매매,기술협력",직원 출결관리 시스템 개발 기술,00000002901,컨설팅매칭,9개월이내,"- 직원 출결관리 시스템은 직원의 출결관리를 호명식 출결처리 대신 지문 또는 RFID, 블루투스를 장착한 사원증을 이용하여 신속하고 정확하게 출결처리를 하는 최적의 시스템임

- 출결기록조회, 출결통계를 이용한 다양한 분석, 인사연계 등 다양한 기능이 제공될 수 있는 직원 출결관리 시스템 개발에 대한 노하우 및 기술이 필요함","직원 출결관리,출결관리 시스템개발,노하우,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술매매,농업용 드론 제조 기술,00000002902,컨설팅매칭,6개월이내,"- 농약살포 드론, 무인 트랙터, 자율주행 수확기 등은 이미 전세계 농업 현장을 누비고 있는 대표적인 농업 로봇임                                                        

- 기존의 농기계는 인공지능이 탑재된 새로운 방식의 무인 농기계로 빠르게 대체되고 있음

- 현재까지 농업과 로봇 기술의 접목은 각 생산 단계별로 특화된 개발에 치중돼 있으며 제초용 로봇, 시비용 로봇, 방제용 로봇, 수확용 로봇 등 역할 중심의 전용 로봇 개발이 주를 이루어지고 있음 

- 따라서, 우리나라와 같은 농업 구조에 최적화된 농업용 드론 제조에 대한 노하우 및 기술이 필요함","농업용 드론,농약살포 드론,농업로봇,무인농기계,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
"기술매매,기술협력","0칼로리 천연감미료, 스테비아를 활용한 건강식품 제조기술",00000002903,컨설팅매칭,9개월이내,"- 맛, 향, 영양소를 공급하는 식품고유의 기능과 면역증강, 노화방지 등 건강에 유익한 기능을 부가적으로 가지고 있는 건강기능 식품의 개발이 활발하게 진행되고 있음

- 0칼로리 천연감미료, 스테비아를 활용한 건강식품의 제조 노하우 및 기술이 필요함","0 칼로리,천연감미료,스테비아,건강식품,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술협력,핀치잇 멀티행거와 멀티클립 제조 기술,00000002904,컨설팅매칭,9개월이내,"- 다용도 집게인 핀치잇(Pinch-it)는 다목적으로 사용되는 행거형 거치 집게임                                                                                                     

- 길이 조절과 회전이 가능한 멀티 행거로서 핀치잇 멀티행거와 멀티클립 제조하는 기술 및 노하우가 필요함","펀치잇 멀티행거,멀티클립,노하우,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
기술협력,실리콘 재질의 충전 케이블 제작 시술,00000002905,컨설팅매칭,6개월이내,"- 전원과 제품을 연결하는 배터리 충전용 케이블은 다양하게 활용되고 있음 

- 충전 케이블의 열량 조절과 기능 개선을 위한 실리콘 재질의 충전 케이블 제작을 위한 노하우 및 기술이 필요함","실리콘 재질,충전 케이블 제작,노하우,,",협의후 결정,신제품 개발,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,전북,2026-07-10,3
